Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2016-06-17,96.62,96.65,95.3,95.33,90.38,61008200,98.83,97.34,97.46,97.14,97.55,97.55,down
2016-06-20,96.0,96.57,95.03,95.1,90.16,34411900,97.34,97.46,97.14,97.55,95.33,95.33,down
2016-06-21,94.94,96.35,94.68,95.91,90.93,35546400,97.46,97.14,97.55,95.33,95.1,95.1,up
2016-06-22,96.25,96.89,95.35,95.55,90.59,29219100,97.14,97.55,95.33,95.1,95.91,95.91,down
2016-06-23,95.94,96.29,95.25,96.1,91.11,32240200,97.55,95.33,95.1,95.91,95.55,95.55,up
2016-06-24,92.91,94.66,92.65,93.4,88.55,75311400,95.33,95.1,95.91,95.55,96.1,96.1,down
2016-06-27,93.0,93.05,91.5,92.04,87.26,45489600,95.1,95.91,95.55,96.1,93.4,93.4,down
2016-06-28,92.9,93.66,92.14,93.59,88.73,40444900,95.91,95.55,96.1,93.4,92.04,92.04,up
2016-06-29,93.97,94.55,93.63,94.4,89.5,36531000,95.55,96.1,93.4,92.04,93.59,93.59,up
2016-06-30,94.44,95.77,94.3,95.6,90.64,35836400,96.1,93.4,92.04,93.59,94.4,94.4,up
2016-07-01,95.49,96.47,95.33,95.89,90.91,26026500,93.4,92.04,93.59,94.4,95.6,95.6,up
2016-07-05,95.39,95.4,94.46,94.99,90.06,27705200,92.04,93.59,94.4,95.6,95.89,95.89,down
2016-07-06,94.6,95.66,94.37,95.53,90.57,30949100,93.59,94.4,95.6,95.89,94.99,94.99,up
2016-07-07,95.7,96.5,95.62,95.94,90.96,25139600,94.4,95.6,95.89,94.99,95.53,95.53,up
2016-07-08,96.49,96.89,96.05,96.68,91.66,28912100,95.6,95.89,94.99,95.53,95.94,95.94,up
2016-07-11,96.75,97.65,96.73,96.98,91.95,23794900,95.89,94.99,95.53,95.94,96.68,96.68,up
2016-07-12,97.17,97.7,97.12,97.42,92.36,24167500,94.99,95.53,95.94,96.68,96.98,96.98,up
2016-07-13,97.41,97.67,96.84,96.87,91.84,25892200,95.53,95.94,96.68,96.98,97.42,97.42,down
2016-07-14,97.39,98.99,97.32,98.79,93.66,38919000,95.94,96.68,96.98,97.42,96.87,96.87,up
2016-07-15,98.92,99.3,98.5,98.78,93.65,30137000,96.68,96.98,97.42,96.87,98.79,98.79,down
2016-07-18,98.7,100.13,98.6,99.83,94.65,36493900,96.98,97.42,96.87,98.79,98.78,98.78,up
2016-07-19,99.56,100.0,99.34,99.87,94.69,23779900,97.42,96.87,98.79,98.78,99.83,99.83,up
2016-07-20,100.0,100.46,99.74,99.96,94.77,26276000,96.87,98.79,98.78,99.83,99.87,99.87,up
2016-07-21,99.83,101.0,99.13,99.43,94.27,32702000,98.79,98.78,99.83,99.87,99.96,99.96,down
2016-07-22,99.26,99.3,98.31,98.66,93.54,28313700,98.78,99.83,99.87,99.96,99.43,99.43,down
2016-07-25,98.25,98.84,96.92,97.34,92.29,40382900,99.83,99.87,99.96,99.43,98.66,98.66,down
2016-07-26,96.82,97.97,96.42,96.67,91.65,56239800,99.87,99.96,99.43,98.66,97.34,97.34,down
2016-07-27,104.27,104.35,102.75,102.95,97.61,92344800,99.96,99.43,98.66,97.34,96.67,96.67,up
2016-07-28,102.83,104.45,102.82,104.34,98.92,39869800,99.43,98.66,97.34,96.67,102.95,102.95,up
2016-07-29,104.19,104.55,103.68,104.21,98.8,27733700,98.66,97.34,96.67,102.95,104.34,104.34,down
